title,address,city,price,bedroom,bathroom,floors,parking,face,year,views,area,road,road_width,road_type,build_area,posted,amenities,year_missing,road_width_ft,area_sqft,build_area_sqft,price_category
"Balaju Commercial Building For Sale : House For Sale In Balaju, Kathmandu","Na, Balaju, Kathmandu",Kathmandu,145000000,95,40,5.0,7,East,2073.0,169,21 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage']",0,20.0,7187.25,,Premium
"Budhanilkantha Taulung Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,55000000,5,6,3.0,4,South,2071.0,253,19 Aana,20 Feet / Gravelled,20 Feet , Gravelled,N/A Aana,1 month ago,"['Parking', 'Garden']",0,20.0,6502.75,,Premium
"Semi-Furnished House : House For Sale In Sitapaila, Kathmandu","Ramkot, Sitapaila, Kathmandu",Kathmandu,24000000,4,4,2.5,1,East,2075.0,510,0-4-0-0 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,2100 Sq. Feet,1 month ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking']",0,13.0,1369.0,2100.0,High
"Dhapasi Deurali Janata Najik Ghar : House For Sale In Dhapasi, Kathmandu","Na, Dhapasi, Kathmandu",Kathmandu,37000000,6,6,3.0,3,South East,2074.0,178,6.1 Aana,32 Feet,32 Feet,Unknown,N/A Aana,1 month ago,"['Parking', 'Garage']",1,32.0,2087.725,,Premium
"Golfutar Height 19 Ana Bungalow : House For Sale In Golfutar, Kathmandu","Na, Golfutar, Kathmandu",Kathmandu,102500000,6,6,3.0,4,East,2070.0,208,19 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage', 'Backyard', 'Balcony', 'Air Condition', 'Frontyard', 'Fencing', 'Garden', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Solar Water', 'Water Well']",0,13.0,6502.75,,Premium
"Newly Constructed : House For Sale In Imadol, Lalitpur","Sital height, Imadol, Lalitpur",Lalitpur,22000000,7,4,3.5,2,South,2076.0,981,0-4-2-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,2700 Aana,4 months ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']",0,13.0,1540.125,924075.0,High
"House For Sale In Pepsicola, Kathmandu","Na, Pepsicola, Kathmandu",Kathmandu,58500000,6,6,3.0,2,East,2076.0,318,6.5 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage']",0,16.0,2224.625,,Premium
"House For Sale In Imadol, Lalitpur","Bojepokhari, Imadol, Lalitpur",Lalitpur,18500000,4,3,2.5,1,East,2076.0,596,0-3-0-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,N/A Sq. Feet,1 month ago,"['Lawn', 'Balcony', 'Fencing', 'Drainage', 'Water Supply', 'Water Tank', 'Store Room']",0,13.0,1026.75,,High
"Newly Built House : House For Sale In Imadol, Lalitpur","Bojepokhari, Imadol, Lalitpur",Lalitpur,21000000,4,3,2.5,1,East,2076.0,466,0-3-2-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,112 Sq. Meter,1 month ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking', 'Store Room']",0,13.0,1197.875,1205.5567999999998,High
"Imadol, Swastik Tole House On Sell : House For Sale In Imadol, Lalitpur","Swastik Tole, Imadol, Lalitpur",Lalitpur,17500000,5,3,3.0,1,South,2074.0,157,3-0-2 Aana,13 Feet,13 Feet,Unknown,3-0-2 Aana,1 month ago,"['Parking', 'Balcony', 'Water Tank', 'Water Well', 'Drainage', 'Internet', 'Wifi', 'TV Cable']",1,13.0,16599.125,16599.125,High
"Baluwatar New Home : House For Sale In Baluwatar, Kathmandu","Na, Baluwatar, Kathmandu",Kathmandu,130000000,5,6,3.0,3,East,2074.0,566,10 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage', 'Air Condition', 'Balcony', 'Frontyard', 'Fencing', 'Garden', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'Water Tank']",0,15.0,3422.5,,Premium
"Budhanilkantha Underconstruction : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,105000000,8,8,4.0,4,East,2076.0,96,21 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage']",0,15.0,7187.25,,Premium
"4 Ropani Farm House Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,105000000,5,5,3.0,4,South,2070.0,345,4 Ropani,15 Feet / Gravelled,15 Feet , Gravelled,N/A Aana,1 month ago,"['Parking', 'Garage', 'Balcony', 'Backyard', 'Deck', 'Frontyard', 'Fencing', 'Garden', 'Microwave', 'Modular Kitchen', 'Washing Machine', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'Water Tank', 'CCTV', 'Kids Playground', 'Store Room']",0,15.0,21904.0,,Premium
"Kapan Khariboth Home : House For Sale In Kapan, Kathmandu","Na, Kapan, Kathmandu",Kathmandu,27500000,6,5,3.0,1,East,2076.0,971,4 ana Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,1 month ago,['Parking'],0,16.0,1369.0,,Premium
"Dhumbarahi Home For Sale : House For Sale In Mandikatar, Kathmandu","Na, Mandikatar, Kathmandu",Kathmandu,40000000,7,7,4.0,2,East,2074.0,151,7 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,1 month ago,['Parking'],0,15.0,2395.75,,Premium
"Hattigaudama 5 Anako Ghar Bikrima : House For Sale In Hattigauda, Kathmandu","NA, Hattigauda, Kathmandu",Kathmandu,26500000,6,6,3.0,2,West,2075.0,282,5 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,N/A Aana,1 month ago,['Parking'],0,14.0,1711.25,,High
"Office Space For Rent In Radhe Radhe, Bhaktapur","Nearby Bhatbhateni Super market, Radhe Radhe, Bhaktapur",Bhaktapur,50,0,2,3.5,2,West,2076.0,1.1K,2500 Sq. Feet,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Sq. Feet,4 months ago,"['Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking']",0,20.0,2500.0,,Low
"Grandy Gate Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,22500000,6,6,3.0,1,North East,2070.0,66,3.1 Aana,18 Feet / Blacktopped,18 Feet , Blacktopped,N/A Aana,1 month ago,['Parking'],0,18.0,1060.9750000000001,,High
"11 Ana Bungalow For Sale : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,60000000,6,6,3.0,4,South East,2070.0,157,11 Aana,15 Feet / Soil Stabilized,15 Feet , Soil Stabilized,N/A Aana,1 month ago,['Parking'],0,15.0,3764.75,,Premium
"Baluwatar 30 Ana Bungalow For Sale : House For Sale In Baluwatar, Kathmandu","Na, Baluwatar, Kathmandu",Kathmandu,250000000,6,5,3.0,10,East,2074.0,339,30 Aana,15 Feet,15 Feet,Unknown,N/A Aana,1 month ago,"['Parking', 'Garage', 'Balcony', 'Garden', 'Water Supply', 'Drainage', 'Water Tank', 'Solar Water']",1,15.0,10267.5,,Premium
"Grandy House For Sale : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,40000000,9,6,4.0,3,East,2069.0,71,9 Aana,13 Feet / Paved,13 Feet , Paved,N/A Aana,1 month ago,['Parking'],0,13.0,3080.25,,Premium
"Sukedhara Brand New Home For Sale : House For Sale In Sukedhara, Kathmandu","Na, Sukedhara, Kathmandu",Kathmandu,30000000,6,5,3.0,1,East,2076.0,136,3.5 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage', 'Balcony', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Water Well', 'Solar Water', 'Water Tank']",0,15.0,1197.875,,Premium
"Naksal Maligau Home For Sale : House For Sale In Maligaon, Kathmandu","NA, Maligaon, Kathmandu",Kathmandu,65000000,6,6,3.0,4,East,2070.0,108,12 Aana,14 Feet / Gravelled,14 Feet , Gravelled,N/A Aana,1 month ago,"['Parking', 'Garage', 'Air Condition', 'Microwave', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Water Well', 'Solar Water', 'Water Tank']",0,14.0,4107.0,,Premium
"Hattigauda 5 Ana Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,33000000,5,6,3.0,2,North,2070.0,150,5 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garden']",0,13.0,1711.25,,Premium
"Golfutar Height Home : House For Sale In Budhanilkantha, Kathmandu","Man, Budhanilkantha, Kathmandu",Kathmandu,30500000,5,5,2.0,1,West,2070.0,112,4 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,1 month ago,['Parking'],0,13.0,1369.0,,Premium
"Mandikatar 1 Floor Home : House For Sale In Mandikatar, Kathmandu","Na, Mandikatar, Kathmandu",Kathmandu,14000000,2,2,1.0,1,South West,2076.0,1.7K,3.1 ana Aana,13 Feet / Gravelled,13 Feet , Gravelled,N/A Aana,1 month ago,['Parking'],0,13.0,1060.9750000000001,,High
"Jyotinagar Home For Sale : House For Sale In Budhanilkantha, Kathmandu","NA, Budhanilkantha, Kathmandu",Kathmandu,28000000,6,6,3.0,1,South East,2076.0,100,4 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,1 month ago,['Parking'],0,13.0,1369.0,,Premium
"Dhapasi Height Commercil Building : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,41000000,10,5,4.0,3,South East,2075.0,67,4 Aana,26 Feet / Blacktopped,26 Feet , Blacktopped,N/A Aana,1 month ago,['Parking'],0,26.0,1369.0,,Premium
"Sundar Basti Brand New Home 2 Homes : House For Sale In Budhanilkantha, Kathmandu","NA, Budhanilkantha, Kathmandu",Kathmandu,27000000,6,6,3.0,2,East,2076.0,161,4.5 Aana,14 Feet / Gravelled,14 Feet , Gravelled,N/A Aana,1 month ago,"['Parking', 'Garage']",0,14.0,1540.125,,Premium
"Tokha Near Venas Housing Home : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,22000000,5,5,3.0,1,East,2076.0,139,3.1 Aana,13 Feet / Soil Stabilized,13 Feet , Soil Stabilized,N/A Aana,1 month ago,['Parking'],0,13.0,1060.9750000000001,,High
"8 Ana Home Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,37000000,5,5,3.0,3,South East,2071.0,168,8 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage', 'Frontyard', 'Water Supply', 'Drainage', 'Solar Water', 'Water Tank']",0,15.0,2738.0,,Premium
"House For Sale In Baluwatar, Kathmandu","Chandol, Height, Baluwatar, Kathmandu",Kathmandu,46000000,4,3,2.5,1,South West,2074.0,5.6K,0-6-3-0 Aana,13 Feet / Concrete,13 Feet , Concrete,N/A Aana,1 month ago,"['Balcony', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']",0,13.0,2310.1875,,Premium
"Sale Of Attractive House And Land : House For Sale In Naikap, Kathmandu","Piple Chautari Tole (Naya Basti), Naikap, Kathmandu",Kathmandu,22500000,5,3,3.0,1,East,2074.0,274,4 Aana,13 Feet,13 Feet,Unknown,4 Aana,1 month ago,"['Parking', 'Balcony', 'Water Well', 'Store Room', 'Frontyard', 'Garden', 'Water Supply', 'Solar Water', 'TV Cable']",1,13.0,1369.0,1369.0,High
"Brand New Never Used House For Sale At Rose Village Balkot : House For Sale In Balkot, Bhaktapur","Rose Village Balkot, Balkot, Bhaktapur",Bhaktapur,29000000,3,3,2.0,2,North,2070.0,1.4K,4.5 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,2200 Sq. Feet,1 month ago,"['Parking', 'Garage', 'Air Condition', 'Balcony', 'Deck', 'Fencing', 'Frontyard', 'Microwave', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Washing Machine', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet']",0,20.0,1540.125,2200.0,Premium
"House On Sale : House For Sale In Naya Bazar, Kathmandu","Nayabazar-16, Naya Bazar, Kathmandu",Kathmandu,31000000,3,4,3.0,1,East,2018.0,209,0-3-0-0 Aana,6 Meter / Blacktopped,6 Meter , Blacktopped,2000 Sq. Feet,1 month ago,"['Fencing', 'Modular Kitchen', 'Frontyard', 'Backyard']",0,19.68504,1026.75,2000.0,Premium
"Commercial House Sale In Satungal : House For Sale In Satungal, Kathmandu","Commercial land sale in Satungal, Satungal, Kathmandu",Kathmandu,42500000,0,0,3.0,0,West,2074.0,136,0-5-1-1 Aana,29 Feet,29 Feet,Unknown,N/A Aana,1 month ago,[],1,29.0,1818.203125,,Premium
"Flat House On Sale, 500 Meter Far From Main Road. : House For Sale In Budhanilkantha, Kathmandu","pasikot/Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,37500000,5,5,3.0,2,South East,2074.0,162,5 Aana,0 Feet,0 Feet,Unknown,3 Aana,1 month ago,"['Parking', 'Balcony', 'Garden', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Solar Water', 'Internet', 'Store Room', 'Wifi']",1,0.0,1711.25,1026.75,Premium
"House With 4 Ropani, Only Land Cost -Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Muhanpokhari Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,105000000,4,3,3.0,4,South,2074.0,437,4-0-0-0 Ropani,20 Feet,20 Feet,Unknown,N/A Aana,1 month ago,"['Parking', 'Garage', 'Backyard', 'Balcony', 'Deck', 'Fencing', 'Frontyard', 'Garden', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",1,20.0,21904.0,,Premium
"Modern House For Sale -Baluwatar : House For Sale In Baluwatar, Kathmandu","Shree Marga, Baluwatar, Kathmandu",Kathmandu,80000000,4,5,3.0,4,West,2076.0,726,0-9-3-3 Aana,13 Feet / Gravelled,13 Feet , Gravelled,4000 Sq. Feet,1 month ago,"['Parking', 'Garage', 'Air Condition', 'Balcony', 'Deck', 'Fencing', 'Frontyard', 'Garden', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'Water Tank']",0,13.0,3401.109375,4000.0,Premium
"House For Sale -Nakkhudol Bhaisepati : House For Sale In Nakhundol, Lalitpur","Nakkhudol Bhaisepati, Nakhundol, Lalitpur",Lalitpur,25000000,3,4,2.0,2,East,2076.0,688,0-4-2-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,N/A Aana,1 month ago,"['Parking', 'Balcony', 'Modular Kitchen', 'Fencing', 'Water Tank', 'Water Supply', 'Drainage']",0,13.0,1540.125,,High
"Bungalow : House For Sale In Bhaktapur, Bhaktapur","Gamcha, Bhaktapur, Bhaktapur",Bhaktapur,32500000,4,4,2.0,4,South,2017.0,374,7 Aana,20 Feet / Paved,20 Feet , Paved,2200 Sq. Feet,1 month ago,"['Parking', 'Balcony', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Electricity Backup', 'Internet', 'Store Room']",0,20.0,2395.75,2200.0,Premium
"जोरपाटी माकलबारी सानो पुल नजिक : House For Sale In Jorpati, Kathmandu","jorpati makalbari near sano pool, Jorpati, Kathmandu",Kathmandu,21000000,5,3,3.0,1,South West,2076.0,173,0-3-2-0 Sq. Feet,12 Feet / Blacktopped,12 Feet , Blacktopped,0-3-1-2 Sq. Feet,1 month ago,"['Water Well', 'Solar Water', 'Garage', 'TV Cable', 'Parking', 'Electricity Backup', 'Store Room']",0,12.0,1197.875,1155.09375,High
"House Sale In Raniban : House For Sale In Raniban, Kathmandu","Raniban, Raniban, Kathmandu",Kathmandu,120000000,0,0,3.0,0,West,2074.0,205,1-15-0-0 Aana,20 Feet,20 Feet,Unknown,N/A Aana,1 month ago,[],1,20.0,10609.75,,Premium
"Attractive House For Sale In Ratnanagar, Chitwan : House For Sale In Ratnanagar, Chitwan","Jerauna, Ratnanagar, Chitwan",Chitwan,7700000,4,2,2.0,1,East,2017.0,677,6 Aana,16 Feet / Gravelled,16 Feet , Gravelled,4 Aana,1 month ago,"['Backyard', 'Balcony', 'Fencing', 'Frontyard', 'Water Tank', 'Parking']",0,16.0,2053.5,1369.0,Medium
"Residential House : House For Sale In Makalbari, Kathmandu","Sundar Tole, Makalbari, Kathmandu",Kathmandu,20000000,7,3,2.5,2,West,2067.0,5.1K,0-4-1-1 Aana,10 Feet / Gravelled,10 Feet , Gravelled,N/A Aana,1 month ago,"['Balcony', 'Fencing', 'Frontyard', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking', 'Store Room']",0,10.0,1475.953125,,High
"3.5 Storey : House For Sale In Sipadol, Bhaktapur","Darjeling Height, Sipadol, Bhaktapur",Bhaktapur,19000000,7,4,3.5,1,West,2076.0,6.2K,0-3-0-0 Aana,20 Feet / Gravelled,20 Feet , Gravelled,3500 Aana,5 months ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking']",0,20.0,1026.75,1197875.0,High
